id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
3584,,LE,,"<p>Watercolor Experiment II: Creating Marbleized Paper</p>
","<p>This learning experience is based on the traditional Turkish art of ebru (marbleizing paper). Students study images and video clips of the traditional art process and then experiment with the process themselves. In their experiment, students investigate and compare the effects of two different water solutions in creating their ebru designs.</p>
",,,10|4,,,
3585,,LE,,"<p>Watercolor Experiment III: Painting with Salt</p>
","<p>This learning experience is an exploration of the effect of salt on watercolor techniques. Students continue to explore the role of water in the art studio.&nbsp;Using a watercolor brush, they explore two methods of painting with watercolor on paper. Then, students sprinkle salt on the watercolor paintings and observe the effect of salt on the medium.</p>
",,,10|4,,,
3586,,LE,,"<p>Tie-Dye</p>
","<p>Students begin by studying traditional arts of fabric dyeing, including the history of tie-dye. They learn about water, dye, and manipulating fabric to create colorful designs. Then students create their own tie-dye patterns using recycled fabrics.</p>
",,,10|4,,,
3587,,LE,,"<p>Andy Goldsworthy</p>
","<p>In this three-part learning experience, students explore the work of artist of Andy Goldsworthy. They focus on his work with water and discuss how he uses water as both an art subject and art medium. Students then use materials from nature to create their own water sculpture. They visit a local body of water and, emulating Goldsworthy, create sculptures from found materials in nature that they gather on location. In addition to creating a sculpture, students examine the ripples created from pebbles tossed in the water&nbsp;and bring pebbles back to the classroom to investigate water ripples in containers.</p>
",,,10|4|3,,,
3588,,AS,SU,"<p>Understanding Unit Goals and Self-Portrait</p>
","<p>In a conference with the teacher, students review their works of art, participation, written reflections, and challenges and accomplishments during the unit. Then, as an end-of-year self-assessment, students create a new self-portrait to compare to the self-portrait they created in Unit 1. In their comparison, students note their artistic achievements and the concepts they learned in grade 1 Visual Arts.</p>
",,,10|4|3|5,,,
3589,,AS,DI,"<p>Self Portrait</p>
","<p>Students draw self-portraits and list their artistic goals for the coming school year. The self-portraits and goals are placed in students&rsquo; portfolios for review in Unit 3 at the end of the school year.</p>
",,,10,,,
3590,,AS,FO,"<p>Sketchbook</p>
","<p>Throughout the year students use their sketchbook as a process journal for their learning experiences in Visual Arts. Students use a sketchbook rubric at the end of each learning experience to monitor their own progress, challenges, and accomplishments.</p>
",,,1,,,
3591,,LE,,"<p>Personal Seal</p>
","<p>Students view modern symbols and ancient Olmec symbols. They design and create their own personal seals, using symbols to represent themselves.</p>
",,,1|10|5,,,
3592,,LE,,"<p>Olmec Heads</p>
","<p>Students examine reproductions of Olmec colossal head sculptures and discuss their power,&nbsp;and&nbsp;their possible meanings.</p>
",,,1|10,,,
3593,,LE,,"<p>Olmec Head&nbsp;Drawings</p>
","<p>Students learn to create the illusion of depth in drawing using black charcoal and white chalk to shade and highlight as they make sketches of Olmec heads. They calculate a size scale in inches to transfer images of these enormous heads to large paper.</p>
",,,1|10|3,,,
3594,,LE,,"<p>Olmec Head Sculptures</p>
","<p>Students extend their understanding of colossal sculptures and drawing depth by creating their own versions as sculpted clay heads. They calculate size scale in centimeters and convert the number to inches. They reflect on their drawings and sculptures in a self-evaluation.</p>
",,,1|10|3,,,
3595,,LE,,"<p>Phoenician Purple Paste Grain Paper</p>
","<p>Students learn the history behind the color Phoenician Purple, as well as the mythology associated with its origin. They also consider the various cultural associations with colors in the violet family, and produce paste-grained decorative papers in a range of purple hues.</p>
",,,1|10,,,
3596,,LE,,"<p>Phoenician Alphabet Bestiary</p>
","<p>Using the letters of the Phoenician alphabet, students work in small groups to create a bestiary of real and imaginary animals. Illustrations are completed in color, in wet and dry media, on 8-inch-square pieces of watercolor paper. Designs incorporate the Phoenician letters that begin the animals&rsquo; names. Completed drawings are mounted on black paper along with a label describing the animal in a few concise, well-written sentences.</p>
",,,1|10,,,
3597,,AS,SU,"<p>Understanding of Unit Goals</p>
","<p>At the end of the unit, students&rsquo; progress, challenges, and achievement during all of the learning experiences and projects in the unit is evaluated with a unit-specific rubric.</p>
",,,1|10,,,
3598,,AS,FO,"<p>Sketchbook</p>
","<p>Throughout the year, students use their sketchbook as a process journal for their learning experiences in Visual Arts. Students use a sketchbook rubric at the end of each learning experience to monitor their own progress, challenges, and accomplishments.</p>
",,,1|3,,,
3599,,LE,,"<p>Ancient Greek Temples</p>
","<p>Students explore the architecture and orders of the ancient Greek Classical period by viewing a presentation on the temples and architecture of the Acropolis, virtually touring the Acropolis via the British Museum website, and investigating the meanings of pertinent vocabulary terms. They review and apply the&nbsp;golden mean to the proportions of the Parthenon. Students compare and contrast ancient Greek buildings with modern buildings.</p>
",,,1|3,,,
3600,,AS,FO,"<p>Greek Temple Model</p>
","<p>As part of their study of Greek architecture, students work collaboratively to create 1/50 scale models of a Greek temple. They create their models out of clay or salt dough, incorporating the characteristics of one of the Greek orders.</p>
",,,4|3,,,
3601,,LE,,"<p>Greek Pediment Sculpture</p>
","<p>Students identify the pediment as an architectural element and come to understand its characteristics. They view examples of ancient and modern pediments before making a generalization about the role of relief sculptures on pediments.</p>
",,,1|10,,,
3602,,AS,FO,"<p>Greek Pediment Sculpture</p>
","<p>Students use visual mapping and brainstorming to draft sketches for pediment sculptures of their own, using Greek mythology as their subject matter. They then work in small groups to create these sculptures out of salt dough and other materials.</p>
",,,10|4|3,,,
3603,,LE,,"<p>Greek Pottery</p>
","<p>Students study and identify the forms of Greek vases and other pottery vessels, noticing how the vessels&rsquo; shapes and construction relate to their function. Then they take a close look at the decorations on Greek pottery, learning to distinguish black-figure and red-figure styles of painting, common Greek design elements, and what the illustrations on these pots suggest about Greek daily life, rituals, religious practices, and entertainment. In the process, students also learn pertinent vocabulary terms.</p>
",,,1,,,
3604,,AS,FO,"<p>Greek Pottery Paintings</p>
","<p>Students paint their own illustrations of a Greek vessel for which they have generated the design and imagery, using either the black-figure or red-figure technique. Then, using presentation skills and Visual Arts vocabulary, they share their artworks with the rest of the class and engage in critiquing sessions.</p>
",,,1,,,
